Temp	Cp	Ref
373.00	25.79285	24EAS
473.00	26.88074	24EAS
573.00	27.96975	24EAS
673.00	29.10056	24EAS
773.00	30.18844	24EAS
873.00	31.27745	24EAS
373.00	24.02829	34AVR
473.00	24.96593	34AVR
573.00	25.86967	34AVR
673.00	26.88638	34AVR
773.00	27.8805	34AVR
873.00	29.2926	34AVR
54.80	4.72658	34MAI
56.18	4.92766	34MAI
58.42	5.39648	34MAI
59.60	5.72748	34MAI
61.84	6.16353	34MAI
63.86	6.53972	34MAI
69.99	7.77107	34MAI
75.44	8.75841	34MAI
79.99	9.61358	34MAI
83.96	10.28687	34MAI
84.45	10.39645	34MAI
90.24	11.39847	34MAI
92.85	11.75997	34MAI
97.68	12.53945	34MAI
100.60	12.99132	34MAI
112.40	14.78751	34MAI
112.50	14.62936	34MAI
124.60	16.12053	34MAI
126.50	16.26739	34MAI
141.00	17.74727	34MAI
141.70	17.78116	34MAI
163.40	19.4192	34MAI
164.20	19.45309	34MAI
185.00	20.57147	34MAI
186.20	20.63925	34MAI
199.40	21.35095	34MAI
200.40	21.37355	34MAI
218.90	22.22081	34MAI
219.60	22.18692	34MAI
241.10	22.83083	34MAI
243.80	22.96639	34MAI
257.40	23.18103	34MAI
257.50	23.27141	34MAI
272.80	23.58772	34MAI
278.90	23.85884	34MAI
290.60	23.98311	34MAI
296.30	24.03959	34MAI
398.00	24.85296	34QUI
473.00	26.09561	34QUI
573.00	27.1688	34QUI
673.00	27.41733	34QUI
1.11	0.00356	37KOK
1.11	0.00359	37KOK
1.12	0.00351	37KOK
1.13	0.00259	37KOK
1.14	0.00203	37KOK
1.14	0.00217	37KOK
1.14	0.00188	37KOK
1.31	0.00203	37KOK
1.48	0.0023	37KOK
1.54	0.00237	37KOK
1.69	0.00262	37KOK
1.87	0.00298	37KOK
1.91	0.00307	37KOK
2.05	0.00309	37KOK
2.20	0.00358	37KOK
2.27	0.00368	37KOK
2.31	0.00355	37KOK
2.35	0.00391	37KOK
2.33	0.00366	37KOK
2.37	0.0038	37KOK
2.43	0.00397	37KOK
2.49	0.00396	37KOK
2.55	0.00427	37KOK
2.69	0.00425	37KOK
2.86	0.00467	37KOK
3.07	0.00504	37KOK
3.15	0.00548	37KOK
3.21	0.00555	37KOK
3.27	0.00559	37KOK
3.45	0.0058	37KOK
3.59	0.0064	37KOK
3.65	0.00647	37KOK
3.79	0.00677	37KOK
3.90	0.00697	37KOK
4.07	0.00764	37KOK
4.15	0.00808	37KOK
4.40	0.00902	37KOK
4.49	0.00935	37KOK
5.02	0.01092	37KOK
5.09	0.01109	37KOK
5.37	0.01251	37KOK
5.39	0.01197	37KOK
5.38	0.0121	37KOK
5.87	0.01396	37KOK
6.00	0.01489	37KOK
15.29	0.10054	41GIA
17.68	0.15816	41GIA
20.08	0.22594	41GIA
22.67	0.3389	41GIA
27.01	0.61003	41GIA
31.61	1.01671	41GIA
35.94	1.50247	41GIA
40.68	2.19158	41GIA
45.98	3.08403	41GIA
51.11	4.05555	41GIA
55.18	4.84633	41GIA
58.59	5.51284	41GIA
61.90	6.16805	41GIA
65.79	6.92494	41GIA
70.16	7.79479	41GIA
70.52	7.86257	41GIA
74.66	8.68724	41GIA
79.35	9.5458	41GIA
84.00	10.40435	41GIA
88.52	11.18383	41GIA
93.63	12.07628	41GIA
97.97	12.82187	41GIA
102.24	13.36411	41GIA
106.65	13.95155	41GIA
111.17	14.55028	41GIA
115.78	15.16031	41GIA
119.44	15.67996	41GIA
119.74	15.69126	41GIA
124.85	16.19961	41GIA
129.77	16.73056	41GIA
134.95	17.21632	41GIA
138.91	17.58912	41GIA
143.55	18.0184	41GIA
148.50	18.39119	41GIA
153.54	18.80917	41GIA
158.60	19.17067	41GIA
163.66	19.61124	41GIA
167.26	19.90496	41GIA
172.78	20.1309	41GIA
178.45	20.51499	41GIA
183.79	20.79741	41GIA
189.05	21.06853	41GIA
194.06	21.35095	41GIA
199.45	21.61078	41GIA
204.92	21.82542	41GIA
209.38	21.94968	41GIA
210.52	22.13043	41GIA
214.35	22.11913	41GIA
216.53	22.29988	41GIA
220.40	22.33377	41GIA
225.75	22.51452	41GIA
231.37	22.69527	41GIA
236.95	22.9438	41GIA
242.44	23.09066	41GIA
247.80	23.16974	41GIA
253.32	23.32789	41GIA
257.99	23.46345	41GIA
263.44	23.62161	41GIA
268.80	23.6668	41GIA
273.03	23.82495	41GIA
278.57	23.96051	41GIA
284.01	24.05089	41GIA
289.65	24.31071	41GIA
295.40	24.3446	41GIA
295.94	24.28812	41GIA
301.60	24.50276	41GIA
90.00	20.22127	51Mae
293.00	20.22127	51Mae
293.00	25.30483	51Mae
373.00	25.30483	51Mae
303.00	22.96075	53Poc
526.00	26.99709	53Poc
554.00	27.36311	53Poc
603.00	28.34932	53Poc
776.00	30.50362	53Poc
885.00	32.84432	53Poc
924.00	34.54336	53Poc
334.00	25.12182	55Ken-Quen
