Temp,Cp
1.06,0.00165
1.07,0.00167
1.08,0.00169
1.09,0.00171
1.11,0.00356
1.11,0.00359
1.11,0.00174
1.12,0.00351
1.12,0.00177
1.13,0.00259
1.13,0.00177
1.14,0.00203
1.14,0.00217
1.14,0.00188
1.14,0.00179
1.15,0.00181
1.16,0.00182
1.16,0.00183
1.17,0.00184
1.17,0.00184
1.17,0.00185
1.17,0.00411
1.17,0.0041
1.17,0.00406
1.17,0.00409
1.17,0.00413
1.17,0.00416
1.17,0.00408
1.17,0.00409
1.17,0.00415
1.17,0.00402
1.17,0.00413
1.17,0.00391
1.17,0.00371
1.17,0.00375
1.17,0.00319
1.17,0.00345
1.17,0.00296
1.17,0.00272
1.17,0.00263
1.17,0.00255
1.17,0.00244
1.17,0.00238
1.17,0.00245
1.17,0.00238
1.17,0.00237
1.17,0.00242
1.17,0.00236
1.18,0.00185
1.18,0.00186
1.18,0.00187
1.18,0.00187
1.18,0.00239
1.18,0.00235
1.18,0.00235
1.18,0.00228
1.18,0.00229
1.18,0.00224
1.18,0.002
1.18,0.00193
1.18,0.00189
1.18,0.00181
1.18,0.00178
1.18,0.0018
1.18,0.00178
1.18,0.00177
1.18,0.00177
1.18,0.00174
1.18,0.00178
1.18,0.00178
1.18,0.00403
1.18,0.004
1.18,0.004
1.18,0.00398
1.18,0.00394
1.18,0.00394
1.18,0.00393
1.18,0.00389
1.18,0.00381
1.18,0.00402
1.18,0.00373
1.18,0.00358
1.18,0.00343
1.18,0.00338
1.18,0.00333
1.18,0.0032
1.18,0.00319
1.18,0.00316
1.18,0.00319
1.18,0.00298
1.18,0.00296
1.18,0.00407
1.18,0.00406
1.18,0.00407
1.18,0.00279
1.18,0.00268
1.18,0.00276
1.18,0.00269
1.18,0.00267
1.18,0.00255
1.18,0.00244
1.18,0.00237
1.18,0.00227
1.18,0.00191
1.18,0.00195
1.18,0.00194
1.18,0.00183
1.18,0.00182
1.18,0.00402
1.18,0.00398
1.18,0.00395
1.18,0.00178
1.18,0.00166
1.18,0.00172
1.18,0.00166
1.18,0.00171
1.18,0.00171
1.18,0.00166
1.18,0.00171
1.18,0.00166
1.18,0.00171
1.19,0.00186
1.19,0.00187
1.19,0.00392
1.19,0.00393
1.19,0.00391
1.19,0.00166
1.19,0.00169
1.19,0.00167
1.19,0.00174
1.19,0.00169
1.19,0.00168
1.19,0.00385
1.19,0.0038
1.19,0.00374
1.19,0.00368
1.19,0.00363
1.19,0.00346
1.19,0.00333
1.19,0.00312
1.19,0.00297
1.19,0.00251
1.19,0.0023
1.19,0.00178
1.19,0.00177
1.19,0.00178
1.19,0.00177
1.19,0.00178
1.31,0.00203
1.48,0.0023
1.54,0.00237
1.69,0.00262
1.87,0.00298
1.91,0.00307
2.05,0.00309
2.2,0.00358
2.27,0.00368
2.31,0.00355
2.33,0.00366
2.35,0.00391
2.37,0.0038
2.43,0.00397
2.49,0.00396
2.55,0.00427
2.69,0.00425
2.77,0.00426
2.86,0.00467
3.07,0.00504
3.15,0.00548
3.21,0.00555
3.25,0.00522
3.27,0.00559
3.45,0.0058
3.52,0.00583
3.59,0.0064
3.65,0.00647
3.74,0.00632
3.79,0.00677
3.9,0.00697
4.01,0.00699
4.07,0.00764
4.15,0.00808
4.22,0.00754
4.4,0.00902
4.49,0.00935
4.52,0.00837
4.7,0.00888
5.02,0.01092
5.04,0.0099
5.09,0.01109
5.19,0.0104
5.37,0.01251
5.38,0.0121
5.39,0.01197
5.57,0.01171
5.7,0.01219
5.87,0.01396
6,0.01489
6.13,0.01383
6.23,0.01426
6.69,0.01623
6.77,0.01658
7.15,0.0181
7.49,0.02015
7.53,0.02038
8.39,0.0248
8.46,0.02572
8.54,0.02623
9.4,0.03221
9.56,0.03341
9.62,0.0302
10.69,0.04
11.88,0.0526
13.18,0.0677
14.59,0.0884
15.29,0.10054
16.09,0.1156
17.68,0.15816
17.68,0.1516
19.34,0.1967
20.08,0.22594
21.04,0.2724
22.67,0.3389
22.88,0.3418
27.01,0.61003
27.51,0.6263
30.34,0.8552
31.61,1.01671
33.68,1.205
35.94,1.50247
37.11,1.646
40.5,2.158
40.68,2.19158
44.4,2.863
45.98,3.08403
48.64,3.784
51.11,4.05555
53.12,4.699
54.8,4.72658
55.18,4.84633
56.18,4.92766
58.42,5.39648
58.59,5.51284
59.6,5.72748
61.84,6.16353
61.9,6.16805
63.32,6.435
63.86,6.53972
65.79,6.92494
69.99,7.77107
70.16,7.79479
70.52,7.86257
70.53,7.863
74.66,8.68724
75.44,8.75841
75.97,8.919
79.35,9.5458
79.99,9.61358
80.13,9.712
81.49,10.12
83.96,10.28687
84,10.40435
84.01,10.421
84.45,10.39645
85.62,10.83
88.16,11.111
88.52,11.18383
89.53,11.45
90,20.22127
90.24,11.39847
92.55,11.842
92.85,11.75997
93.42,12.05
93.63,12.07628
96.73,12.511
97.03,12.67
97.68,12.53945
97.97,12.82187
100.6,12.99132
100.61,13.17
100.87,13.106
102.24,13.36411
103.95,13.63
104.98,13.693
106.65,13.95155
109.33,14.282
110.22,14.44
111.17,14.55028
112.4,14.78751
112.5,14.62936
113.2,14.84
113.93,14.873
115.78,15.16031
116.08,15.24
118.38,15.405
118.85,15.53
119.44,15.67996
119.74,15.69126
121.52,15.92
123.01,15.926
124.11,16.17
124.6,16.12053
124.85,16.19961
126.5,16.26739
126.62,16.36
127.83,16.469
129.05,16.62
129.77,16.73056
131.41,16.93
132.53,16.948
133.71,17.1
134.95,17.21632
135.92,17.22
137.12,17.368
138.07,17.45
138.91,17.58912
140.24,17.63
141,17.74727
141.62,17.734
141.7,17.78116
142.54,17.86
143.55,18.0184
144.61,18.14
146.03,18.092
146.75,18.16
148.5,18.39119
148.92,18.33
150.37,18.453
151.06,18.65
153.16,18.69
153.54,18.80917
155.27,18.91
157.34,18.94
158.6,19.17067
159.05,19.08
159.4,19.15
161.43,19.29
163.4,19.4192
163.45,19.39
163.66,19.61124
164.2,19.45309
164.57,19.467
165.45,19.5
167.26,19.90496
167.42,19.75
169.38,19.85
170.01,19.821
171.32,19.9
172.78,20.1309
175.13,20.2
175.37,20.149
177.08,20.19
178.45,20.51499
179.04,20.37
180.66,20.426
180.99,20.34
182.91,20.57
183.79,20.79741
184.83,20.62
185,20.57147
185.88,20.687
186.2,20.63925
186.71,20.75
188.59,20.76
189.05,21.06853
190.06,20.94
191.04,20.946
192.3,21.01
194.06,21.35095
194.15,21
195.98,21.13
196.16,21.162
197.88,21.2
199.4,21.35095
199.45,21.61078
199.76,21.38
200.4,21.37355
201.22,21.353
201.61,21.39
203.44,21.43
204.92,21.82542
205.26,21.62
206.24,21.585
207.04,21.69
208.8,21.67
209.38,21.94968
210.52,22.13043
210.54,21.72
211.21,21.803
212.26,21.9
214,21.87
214.35,22.11913
215.76,21.99
216.15,21.986
216.53,22.29988
217.49,22.03
218.9,22.22081
219.6,22.18692
220.4,22.33377
220.83,22.19
220.94,22.14
221.05,22.156
222.66,22.18
223.23,22.33
224.38,22.31
225.75,22.51452
225.92,22.253
226.09,22.44
227.81,22.4
229.55,22.34
230.77,22.438
231.18,22.6
231.3,22.43
231.37,22.69527
232.99,22.65
233.31,22.69
234.72,22.53
235.57,22.626
236.54,22.67
236.95,22.9438
238.12,22.75
239.74,22.72
240.34,22.774
241.1,22.83083
241.43,22.76
241.7,22.9
242.44,23.09066
243.12,22.86
243.8,22.96639
244.84,22.8
245.07,22.968
246.54,22.98
247.8,23.16974
248.19,22.99
249.78,23.114
249.78,23.01
251.42,23.04
253.13,23.11
253.32,23.32789
254.81,23.14
254.84,23.225
256.45,23.1
257.4,23.18103
257.5,23.27141
257.99,23.46345
258.05,23.19
259.5,23.329
259.64,23.25
259.69,23.24
263.44,23.62161
264.17,23.36
265.95,23.34
268.8,23.6668
269.08,23.47
270.19,23.51
271.71,23.54
272.8,23.58772
273.03,23.82495
274.25,23.69
278.57,23.96051
278.9,23.85884
279.3,23.78
279.69,23.71
281.21,23.76
284.01,24.05089
284.32,23.93
289.24,24.05
289.65,24.31071
290.35,23.98
290.6,23.98311
292.37,23.95
293,20.22127
293,25.30483
294.16,24.2
295,23.72328
295.4,24.3446
295.94,24.28812
296.3,24.03959
300,23.4
300,23.4
300.87,24.12
301.6,24.50276
302.53,24.1
303,22.96075
310.95,24.3
310.99,24.23
311.84,24.24
312.75,24.26
321.47,24.43
323.54,24.37
