"Temp"	"Cp"	"Ref"
56.1	2.65392	"[37AND]"
59.5	3.14787	"[37AND]"
61.1	3.39485	"[37AND]"
63.5	3.56229	"[37AND]"
66.9	4.36181	"[37AND]"
68	4.55018	"[37AND]"
72.4	5.25762	"[37AND]"
74.2	5.6804	"[37AND]"
81.6	6.89016	"[37AND]"
84.8	7.43434	"[37AND]"
93.2	8.8492	"[37AND]"
96.1	9.36408	"[37AND]"
105.8	10.97988	"[37AND]"
123.1	12.67102	"[37AND]"
141.6	15.55099	"[37AND]"
162.9	17.49748	"[37AND]"
181.6	18.87049	"[37AND]"
200.1	20.15978	"[37AND]"
222.1	21.11	"[37AND]"
244.1	21.95138	"[37AND]"
274	22.78021	"[37AND]"
281.5	22.93509	"[37AND]"
291.1	23.19881	"[37AND]"
1.82173	0.00567	"[52EST]"
2.01303	0.00687	"[52EST]"
2.2062	0.00849	"[52EST]"
2.34638	0.00902	"[52EST]"
2.44941	0.00992	"[52EST]"
2.56201	0.01206	"[52EST]"
2.65394	0.01266	"[52EST]"
2.73075	0.0134	"[52EST]"
2.7724	0.01467	"[52EST]"
2.80309	0.01411	"[52EST]"
2.88759	0.0152	"[52EST]"
2.91069	0.01563	"[52EST]"
2.96491	0.01553	"[52EST]"
3.00707	0.01527	"[52EST]"
3.12508	0.01789	"[52EST]"
3.22754	0.01762	"[52EST]"
3.31361	0.01979	"[52EST]"
3.39161	0.02252	"[52EST]"
3.46165	0.02292	"[52EST]"
3.51554	0.02515	"[52EST]"
3.57729	0.02439	"[52EST]"
3.64225	0.02653	"[52EST]"
3.70931	0.0272	"[52EST]"
3.77213	0.0301	"[52EST]"
3.8206	0.02713	"[52EST]"
3.94804	0.0312	"[52EST]"
3.99036	0.03311	"[52EST]"
263.13	22.68843	"[79KEM]"
267.46	22.79073	"[79KEM]"
270.86	22.90173	"[79KEM]"
272.73	22.95397	"[79KEM]"
274.02	22.99968	"[79KEM]"
276.6	23.06497	"[79KEM]"
277.77	23.10197	"[79KEM]"
280.34	23.19992	"[79KEM]"
282.33	23.21515	"[79KEM]"
284.44	23.26086	"[79KEM]"
286.9	23.34139	"[79KEM]"
289.47	23.40887	"[79KEM]"
291.58	23.50681	"[79KEM]"
293.92	23.57864	"[79KEM]"
295.91	23.61346	"[79KEM]"
298.14	23.68094	"[79KEM]"
300.48	23.77235	"[79KEM]"
302.47	23.80718	"[79KEM]"
304.23	23.85289	"[79KEM]"
306.57	23.95083	"[79KEM]"
308.56	24.03789	"[79KEM]"
309.73	24.09013	"[79KEM]"
311.37	24.06401	"[79KEM]"
312.3	23.96607	"[79KEM]"
313.47	23.88989	"[79KEM]"
314.75	23.85942	"[79KEM]"
315.92	23.85289	"[79KEM]"
317.09	23.84853	"[79KEM]"
318.38	23.85724	"[79KEM]"
319.78	23.879	"[79KEM]"
320.84	23.88336	"[79KEM]"
322.24	23.88989	"[79KEM]"
323.99	23.90948	"[79KEM]"
326.8	23.95518	"[79KEM]"
330.78	24.03136	"[79KEM]"
333.12	24.06183	"[79KEM]"
336.17	24.11407	"[79KEM]"
338.04	24.1489	"[79KEM]"
342.37	24.21637	"[79KEM]"
261.84	22.64054	"[79KEM]"
265.94	22.73849	"[79KEM]"
269.81	22.85602	"[79KEM]"
279.99	23.15203	"[79KEM]"
289.83	23.45458	"[79KEM]"
299.89	23.70053	"[79KEM]"
301.53	23.74188	"[79KEM]"
303.06	23.85506	"[79KEM]"
305.87	23.90077	"[79KEM]"
307.74	24.01177	"[79KEM]"
309.85	24.03789	"[79KEM]"
311.83	23.8333	"[79KEM]"
314.17	23.78106	"[79KEM]"
315.92	23.79629	"[79KEM]"
319.66	23.82241	"[79KEM]"
322.47	23.85289	"[79KEM]"
324.93	23.85289	"[79KEM]"
329.96	23.95518	"[79KEM]"
334.88	24.01613	"[79KEM]"
339.91	24.09884	"[79KEM]"
345.17	24.17937	"[79KEM]"
281.51	23.2391	"[79KEM]"
285.38	23.32616	"[79KEM]"
287.84	23.38928	"[79KEM]"
292.64	23.54164	"[79KEM]"
294.98	23.60258	"[79KEM]"
297.2	23.67441	"[79KEM]"
299.31	23.74623	"[79KEM]"
301.54	23.81371	"[79KEM]"
305.63	23.95083	"[79KEM]"
307.74	24.05313	"[79KEM]"
310.9	24.16196	"[79KEM]"
312.19	24.14019	"[79KEM]"
313.01	24.0836	"[79KEM]"
314.06	24.05313	"[79KEM]"
315.23	23.99219	"[79KEM]"
316.63	23.96607	"[79KEM]"
317.91	23.95083	"[79KEM]"
319.08	23.95083	"[79KEM]"
320.49	23.93995	"[79KEM]"
322.59	23.93559	"[79KEM]"
325.05	23.93559	"[79KEM]"
327.62	23.97477	"[79KEM]"
330.08	23.99654	"[79KEM]"
332.3	24.05748	"[79KEM]"
334.64	24.09231	"[79KEM]"
337.22	24.13366	"[79KEM]"
339.56	24.17937	"[79KEM]"
340.96	24.1946	"[79KEM]"
343.54	24.24684	"[79KEM]"
344.48	24.26208	"[79KEM]"
267.84	22.74756	"[60BEA]"
269.4	22.77142	"[60BEA]"
271.01	22.78147	"[60BEA]"
272.59	22.89114	"[60BEA]"
274.26	22.93509	"[60BEA]"
275.83	22.99621	"[60BEA]"
277.34	23.02049	"[60BEA]"
279	23.03598	"[60BEA]"
280.53	23.14272	"[60BEA]"
282.19	23.16407	"[60BEA]"
283.81	23.20258	"[60BEA]"
284.61	23.20174	"[60BEA]"
286.58	23.36793	"[60BEA]"
288.6	23.29509	"[60BEA]"
290.76	23.37295	"[60BEA]"
293.09	23.45332	"[60BEA]"
295.3	23.52532	"[60BEA]"
297.57	23.60569	"[60BEA]"
297.83	23.57974	"[60BEA]"
299.23	23.61825	"[60BEA]"
299.84	23.67769	"[60BEA]"
301	23.62537	"[60BEA]"
300.63	23.64546	"[60BEA]"
302	23.76643	"[60BEA]"
302.23	23.84304	"[60BEA]"
303.34	23.77397	"[60BEA]"
303.35	23.82211	"[60BEA]"
304.49	23.87527	"[60BEA]"
304.8	23.81834	"[60BEA]"
305.62	23.89704	"[60BEA]"
306	23.94225	"[60BEA]"
306.77	24.0042	"[60BEA]"
308.44	24.02806	"[60BEA]"
309.05	24.1528	"[60BEA]"
309.59	24.16662	"[60BEA]"
310.16	24.31103	"[60BEA]"
310.64	24.32485	"[60BEA]"
311.24	24.37257	"[60BEA]"
311.53	24.19341	"[60BEA]"
311.82	24.06531	"[60BEA]"
312.08	24.01927	"[60BEA]"
312.44	23.9368	"[60BEA]"
312.69	23.85141	"[60BEA]"
312.91	23.89369	"[60BEA]"
313.33	23.83383	"[60BEA]"
313.52	23.7455	"[60BEA]"
314.06	23.75932	"[60BEA]"
314.65	23.76727	"[60BEA]"
315.26	23.86313	"[60BEA]"
315.84	23.79741	"[60BEA]"
316.5	23.86229	"[60BEA]"
317.03	23.83634	"[60BEA]"
317.63	23.89829	"[60BEA]"
318.16	23.88071	"[60BEA]"
318.75	23.8715	"[60BEA]"
319.38	23.80871	"[60BEA]"
320.42	23.90164	"[60BEA]"
321.6	23.92341	"[60BEA]"
322.69	23.97908	"[60BEA]"
323.92	23.97825	"[60BEA]"
320	24.3	"[65KOH]"
350	25.2	"[65KOH]"
400	26.1	"[65KOH]"
450	26.8	"[65KOH]"
500	27.2	"[65KOH]"
550	27.6	"[65KOH]"
600	28	"[65KOH]"
650	28.4	"[65KOH]"
700	28.8	"[65KOH]"
750	29.2	"[65KOH]"
800	29.6	"[65KOH]"
850	30.1	"[65KOH]"
900	30.7	"[65KOH]"
950	31.3	"[65KOH]"
1000	32.1	"[65KOH]"
1050	32.9	"[65KOH]"
1100	33.8	"[65KOH]"
1150	34.7	"[65KOH]"
1200	35.7	"[65KOH]"
1250	36.8	"[65KOH]"
1300	37.9	"[65KOH]"
1350	39.1	"[65KOH]"
1400	40.2	"[65KOH]"
1450	41.2	"[65KOH]"
1500	42.1	"[65KOH]"
1550	43.1	"[65KOH]"
1600	44.1	"[65KOH]"
1650	45.1	"[65KOH]"
1700	46.2	"[65KOH]"
1750	47.2	"[65KOH]"
1800	48.2	"[65KOH]"
273	22.59266	"[50ARM]"
373	24.94334	"[50ARM]"
473	26.46693	"[50ARM]"
573	27.40285	"[50ARM]"
673	27.8164	"[50ARM]"
773	28.46936	"[50ARM]"
