Temp,Cp
1,0.285
1.82,0.000935
1.92,0.000985
2.07,0.00106
2.3,0.00116
2.55,0.0013
2.72,0.00162
2.87,0.00146
2.99,0.00152
3.08,0.00158
3.12,0.00159
3.14,0.00162
3.22,0.00165
3.3,0.0017
3.44,0.00179
3.55,0.00185
3.63,0.0019
3.84,0.00198
3.86,0.00199
4.07,0.00212
4.38,0.0023
4.83,0.0258
5.27,0.0288
16.9,0.156
20,0.3
20,0.2
20.3,0.229
24.7,0.373
26.8,0.471
29.4,0.599
30,0.753
30,0.9
30,0.6
32.4,0.829
36.9,1.18
40,1.54
40,1.57
40,2.1
40,1.3
43,1.94
50,3.05
50,4.1
50,3
50.8,3.09
54.6,3.87
57.8,4.42
59.1,4.55
60,4.81
60,6.2
60,4.8
60,4.81
61.4,5.08
65.6,5.89
69.4,6.62
69.8,6.56
70,6.78
70,8.3
70,6.7
70,6.78
72.9,7.62
73.7,7.45
75,7.54
75.6,8.29
77.9,8.57
80,8.79
80,10.4
80,8.6
80,8.7
80.2,9.25
82.2,9.01
82.4,10.1
84,9.13
84.6,10.3
86.2,9.74
86.5,10.6
88.5,11.2
90,10.5
90,12.3
90,10.4
90,10.5
90.4,11.5
91.3,10.4
95.1,11.3
100,12.2
100,14.1
100,12.1
100,12.2
101,12
105,12.8
110,13.4
110,13.8
115,14.3
120,15.1
120,17.1
120,14.9
120,15
121,14.9
126,15.6
130,16.1
130,16.2
136,16.7
139,17
140,17.3
140,19.5
140,17.2
140,17.2
146,17.7
149,18
150,18.2
156,18.6
158,18.8
160,18.8
160,21.3
160,18.9
160,19
166,19.4
167,19.6
176,20.1
179,20.4
180,20.2
180,22.8
180,20.4
180,20.4
186,20.7
190,21
196,22.5
197,21.4
197,21.3
198,22.7
198,22.8
200,21.5
200,24
200,21.5
200,21.6
206,21.9
206,21.8
216,22.2
220,22.5
220,24.9
220,22.4
220,22.5
226,22.6
237,23.1
240,25.7
240,23.2
240,23.3
246,23.4
256,23.8
260,26.4
260,23.9
260,24.1
266,24.1
273,24.6
273,24.3
276,24.4
280,27
280,24.5
280,24.6
286,24.7
293,24.5
293,25.2
295,24.9
295,25.7
298,25.1
298,25.1
299,25.9
299,25.9
300,27.6
300,25.1
300,25.5
302,24.8
302,24.8
323,25.2
333,26.1
343,26.2
343,26.2
348,26.2
350,28.8
350,26.4
350,27
363,26.8
363,26.8
365,27.8
373,26.9
373,26.4
373,27.3
373,26.6
373,26.6
373,26.9
378,26.2
383,26.4
383,27.7
383,27.7
393,26.4
393,27.4
398,27.3
400,27.2
400,29.8
400,27.5
400,28.3
401,28.3
402,27.4
402,27.4
403,26.6
403,28.4
403,28.4
413,27.6
413,27.8
423,30.8
423,29
423,29
428,32.5
433,31.8
433,28.3
438,29.2
443,26.9
443,29.6
443,29.6
448,25.9
448,28.5
450,30.6
450,28.6
450,29.3
451,29.2
453,25.9
453,28.7
458,26.2
463,27.6
463,30
463,30
468,28.5
473,28.5
473,28.3
473,30
473,28.7
473,29
473,29
473,29.2
478,29.2
483,29.9
483,30.6
483,30.6
493,29.9
493,29.6
498,29.4
500,29.4
500,31.4
500,29.8
500,30.3
501,30.1
502,29.7
502,29.7
503,30.8
503,31.2
503,31.2
513,30.8
513,30
523,31.3
523,31.8
523,31.8
533,31.5
